Here we made 6 Hilbert matrices of sizes 3,5,10,15,20,25 and
solved them each using basic Gaussian elimination, 
scaled partial pivoting, LU factorization, and Gauss-Seidel.
Below are the residual error vectors for each matrix size and
solution method combination:

							size: 3
	basic				scaled				LU				G-S
-1.11022302463e-16		1.11022302463e-16		-1.11022302463e-16		0.261401517341
-5.55111512313e-17		1.66533453694e-16		-5.55111512313e-17		0.0575740832579
1.94289029309e-16		-2.77555756156e-17		1.94289029309e-16		-0.010696251549

							size: 5
	basic				scaled				LU				G-S
-1.11022302463e-16		0.0		0.0		0.421220556196
5.55111512313e-17		-5.55111512313e-17		-2.77555756156e-16		0.136467114137
-2.77555756156e-17		-1.38777878078e-16		-1.38777878078e-16		0.0385074652554
1.11022302463e-16		-5.55111512313e-17		-5.55111512313e-17		-0.00325445963245
-2.77555756156e-17		2.77555756156e-17		-2.77555756156e-17		-0.0229669832592

							size: 10
	basic				scaled				LU				G-S
-1.11022302463e-16		-1.11022302463e-16		0.0		0.549036303826
-2.22044604925e-16		-5.55111512313e-17		-5.55111512313e-17		0.227087650495
0.0		-2.49800180541e-16		5.55111512313e-17		0.103164433134
-4.16333634234e-17		-1.38777878078e-17		-4.16333634234e-17		0.0449086485513
8.32667268469e-17		-8.32667268469e-17		-6.93889390391e-17		0.0142118543155
-5.55111512313e-17		-9.71445146547e-17		1.38777878078e-17		-0.00315820429821
-6.93889390391e-18		-1.31838984174e-16		6.24500451352e-17		-0.0134373777904
2.08166817117e-17		-1.11022302463e-16		4.16333634234e-17		-0.0196758540185
-6.93889390391e-17		-1.11022302463e-16		6.93889390391e-18		-0.0234913242943
0.0		-1.04083408559e-17		1.73472347598e-17		-0.0257966122602

							size: 15
	basic				scaled				LU				G-S
4.10782519111e-15		-5.55111512313e-16		1.01030295241e-14		0.576214381792
-1.16573417586e-15		4.72399896978e-14		3.49720252757e-15		0.258630375733
-7.57727214307e-15		1.19210197269e-13		1.97064586871e-15		0.130649364139
2.99760216649e-14		2.42028619368e-14		3.06421554797e-14		0.0682254637077
2.38420394538e-14		2.87270207622e-14		1.1407541578e-14		0.0340516895947
5.44009282066e-15		4.07451850037e-14		1.3433698598e-14		0.0138717241871
1.65978342181e-14		1.52655665886e-14		-7.60502771868e-15		0.00132078697077
2.77555756156e-14		1.59872115546e-14		2.48689957516e-14		-0.00677031409158
9.54791801178e-15		2.02060590482e-14		-1.04360964315e-14		-0.0121127269526
5.3290705182e-15		1.95399252334e-14		-1.55431223448e-15		-0.0156899822588
-1.27675647832e-14		2.77555756156e-15		6.99440505514e-15		-0.0180962026831
-6.71684929898e-15		1.65978342181e-14		5.05151476204e-15		-0.0197050678935
1.20459198172e-14		2.18158824339e-14		1.5598633496e-14		-0.0207595776674
2.49800180541e-15		2.1371793224e-14		2.16493489802e-15		-0.021422223199
-8.32667268469e-16		2.10387263166e-14		-4.71844785466e-15		-0.0218042525004

							size: 20
	basic				scaled				LU				G-S
3.04013147989e-10		-2.72278521951e-09		-8.01932409367e-10		0.589148698832
-1.88526155798e-09		-8.57914256303e-09		1.60719809683e-09		0.274381527082
4.90626400618e-10		-1.01031678856e-08		-6.15319156738e-10		0.145449535389
-8.53462855943e-10		1.10208999704e-08		3.10690362326e-10		0.081551712956
1.06778003106e-10		-2.68718972074e-09		-4.31700422632e-09		0.0459452738879
2.39380681943e-09		1.34606892299e-09		-1.04044517446e-09		0.0244915715701
2.10470235684e-09		3.12333642283e-09		8.53237647203e-10		0.0108366248721
5.91288795704e-10		8.47842684948e-09		-1.3586678449e-09		0.00179457960725
-1.02086117337e-10		-5.31167176909e-09		1.67324754052e-09		-0.00436764847019
-1.49831258511e-11		-1.60502278135e-10		-4.51540582702e-10		-0.00865431327471
1.83739434778e-09		-4.68186367453e-09		-1.9987378419e-10		-0.0116773922433
-1.05158709518e-09		3.31398747333e-09		1.07299252816e-09		-0.0138254381748
